RXDDRGID,RXDDRUG,RXDINGFL,RXDDCI1A,RXDDCI1B,RXDDCI1C,RXDDCI2A,RXDDCI2B,RXDDCI2C,RXDDCI3A,RXDDCI3B,RXDDCI3C,RXDDCI4A,RXDDCI4B,RXDDCI4C,RXDICI1A,RXDICI1B,RXDICI1C,RXDICI2A,RXDICI2B,RXDICI2C,RXDICI3A,RXDICI3B,RXDICI3C,RXDICI4A,RXDICI4B,RXDICI4C,RXDICI5A,RXDICI5B,RXDICI5C,RXDICI6A,RXDICI6B,RXDICI6C,RXDDCN1A,RXDDCN1B,RXDDCN1C,RXDDCN2A,RXDDCN2B,RXDDCN2C,RXDDCN3A,RXDDCN3B,RXDDCN3C,RXDDCN4A,RXDDCN4B,RXDDCN4C,RXDICN1A,RXDICN1B,RXDICN1C,RXDICN2A,RXDICN2B,RXDICN2C,RXDICN3A,RXDICN3B,RXDICN3C,RXDICN4A,RXDICN4B,RXDICN4C,RXDICN5A,RXDICN5B,RXDICN5C,RXDICN6A,RXDICN6B,RXDICN6C
c00099,ANTIDIABETIC AGENTS - UNSPECIFIED,0.0,358.0,99.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,358.0,99.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,METABOLIC AGENTS,ANTIDIABETIC AGENTS,,,,,,,,,,,METABOLIC AGENTS,ANTIDIABETIC AGENTS,,,,,,,,,,,,,,,,
c00101,SEX HORMONES - UNSPECIFIED,0.0,97.0,101.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,97.0,101.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,HORMONES/HORMONE MODIFIERS,SEX HORMONES,,,,,,,,,,,HORMONES/HORMONE MODIFIERS,SEX HORMONES,,,,,,,,,,,,,,,,
c00102,CONTRACEPTIVES - UNSPECIFIED,0.0,97.0,101.0,102.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,97.0,101.0,102.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,HORMONES/HORMONE MODIFIERS,SEX HORMONES,CONTRACEPTIVES,,,,,,,,,,HORMONES/HORMONE MODIFIERS,SEX HORMONES,CONTRACEPTIVES,,,,,,,,,,,,,,,
c00103,THYROID HORMONES - UNSPECIFIED,0.0,97.0,103.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,97.0,103.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,HORMONES/HORMONE MODIFIERS,THYROID HORMONES,,,,,,,,,,,HORMONES/HORMONE MODIFIERS,THYROID HORMONES,,,,,,,,,,,,,,,,
c00110,MISCELLANEOUS UNCATEGORIZED AGENTS - UNSPECIFIED,0.0,105.0,110.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,105.0,110.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,MISCELLANEOUS AGENTS,MISCELLANEOUS UNCATEGORIZED AGENTS,,,,,,,,,,,MISCELLANEOUS AGENTS,MISCELLANEOUS UNCATEGORIZED AGENTS,,,,,,,,,,,,,,,,
c00117,MINERALS AND ELECTROLYTES - UNSPECIFIED,0.0,115.0,117.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,115.0,117.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,NUTRITIONAL PRODUCTS,MINERALS AND ELECTROLYTES,,,,,,,,,,,NUTRITIONAL PRODUCTS,MINERALS AND ELECTROLYTES,,,,,,,,,,,,,,,,
c00122,RESPIRATORY AGENTS - UNSPECIFIED,0.0,122.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,122.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,,,,,,,,,,,,RESPIRATORY AGENTS,,,,,,,,,,,,,,,,,
c00123,ANTIHISTAMINES - UNSPECIFIED,0.0,122.0,123.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,122.0,123.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,,,,,,
c00130,RESPIRATORY INHALANT PRODUCTS - UNSPECIFIED,0.0,122.0,130.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,122.0,130.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,RESPIRATORY INHALANT PRODUCTS,,,,,,,,,,,RESPIRATORY AGENTS,RESPIRATORY INHALANT PRODUCTS,,,,,,,,,,,,,,,,
c00131,ANTIASTHMATIC COMBINATIONS - UNSPECIFIED,0.0,122.0,131.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,122.0,131.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RESPIRATORY AGENTS,ANTIASTHMATIC COMBINATIONS,,,,,,,,,,,RESPIRATORY AGENTS,ANTIASTHMATIC COMBINATIONS,,,,,,,,,,,,,,,,
c00133,TOPICAL AGENTS - UNSPECIFIED,0.0,133.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,133.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,TOPICAL AGENTS,,,,,,,,,,,,TOPICAL AGENTS,,,,,,,,,,,,,,,,,
c00136,DERMATOLOGICAL AGENTS - UNSPECIFIED,0.0,133.0,136.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,133.0,136.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,,,,,,,,,,,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,,,,,,,,,,,,,,,,
c00138,TOPICAL STEROIDS - UNSPECIFIED,0.0,133.0,136.0,138.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,133.0,136.0,138.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,TOPICAL STEROIDS,,,,,,,,,,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,TOPICAL STEROIDS,,,,,,,,,,,,,,,
c00146,MOUTH AND THROAT PRODUCTS - UNSPECIFIED,0.0,133.0,146.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,133.0,146.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,TOPICAL AGENTS,MOUTH AND THROAT PRODUCTS,,,,,,,,,,,TOPICAL AGENTS,MOUTH AND THROAT PRODUCTS,,,,,,,,,,,,,,,,
c00147,OPHTHALMIC PREPARATIONS - UNSPECIFIED,0.0,133.0,147.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,133.0,147.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,,,,,,,,,,,,,,,,
c00148,OTIC PREPARATIONS - UNSPECIFIED,0.0,133.0,148.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,133.0,148.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,TOPICAL AGENTS,OTIC PREPARATIONS,,,,,,,,,,,TOPICAL AGENTS,OTIC PREPARATIONS,,,,,,,,,,,,,,,,
c00156,THIAZIDE AND THIAZIDE-LIKE DIURETICS - UNSPECIFIED,0.0,40.0,49.0,156.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,49.0,156.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CARDIOVASCULAR AGENTS,DIURETICS,THIAZIDE AND THIAZIDE-LIKE DIURETICS,,,,,,,,,,CARDIOVASCULAR AGENTS,DIURETICS,THIAZIDE AND THIAZIDE-LIKE DIURETICS,,,,,,,,,,,,,,,
c00163,OPHTHALMIC ANTI-INFECTIVES - UNSPECIFIED,0.0,133.0,147.0,163.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,133.0,147.0,163.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC ANTI-INFECTIVES,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC ANTI-INFECTIVES,,,,,,,,,,,,,,,
c00164,OPHTHALMIC GLAUCOMA AGENTS - UNSPECIFIED,0.0,133.0,147.0,164.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,133.0,147.0,164.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC GLAUCOMA AGENTS,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC GLAUCOMA AGENTS,,,,,,,,,,,,,,,
c00167,OPHTHALMIC ANTI-INFLAMMATORY AGENTS - UNSPECIFIED,0.0,133.0,147.0,167.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,133.0,147.0,167.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC ANTI-INFLAMMATORY AGENTS,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC ANTI-INFLAMMATORY AGENTS,,,,,,,,,,,,,,,
c00169,MISCELLANEOUS OPHTHALMIC AGENTS - UNSPECIFIED,0.0,133.0,147.0,169.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,133.0,147.0,169.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,MISCELLANEOUS OPHTHALMIC AGENTS,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,MISCELLANEOUS OPHTHALMIC AGENTS,,,,,,,,,,,,,,,
c00183,ESTROGENS - UNSPECIFIED,0.0,97.0,101.0,183.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,97.0,101.0,183.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,HORMONES/HORMONE MODIFIERS,SEX HORMONES,ESTROGENS,,,,,,,,,,HORMONES/HORMONE MODIFIERS,SEX HORMONES,ESTROGENS,,,,,,,,,,,,,,,
c00193,ANTIMIGRAINE AGENTS - UNSPECIFIED,0.0,57.0,58.0,193.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,58.0,193.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,ANTIMIGRAINE AGENTS,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,ANTIMIGRAINE AGENTS,,,,,,,,,,,,,,,
c00249,ANTIDEPRESSANTS - UNSPECIFIED,0.0,242.0,249.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,242.0,249.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PSYCHOTHERAPEUTIC AGENTS,ANTIDEPRESSANTS,,,,,,,,,,,PSYCHOTHERAPEUTIC AGENTS,ANTIDEPRESSANTS,,,,,,,,,,,,,,,,
c00250,MONOAMINE OXIDASE INHIBITORS - UNSPECIFIED,0.0,242.0,249.0,250.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,242.0,249.0,250.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PSYCHOTHERAPEUTIC AGENTS,ANTIDEPRESSANTS,MONOAMINE OXIDASE INHIBITORS,,,,,,,,,,PSYCHOTHERAPEUTIC AGENTS,ANTIDEPRESSANTS,MONOAMINE OXIDASE INHIBITORS,,,,,,,,,,,,,,,
c00251,ANTIPSYCHOTICS - UNSPECIFIED,0.0,242.0,251.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,242.0,251.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PSYCHOTHERAPEUTIC AGENTS,ANTIPSYCHOTICS,,,,,,,,,,,PSYCHOTHERAPEUTIC AGENTS,ANTIPSYCHOTICS,,,,,,,,,,,,,,,,
c00253,ANOREXIANTS - UNSPECIFIED,0.0,57.0,253.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,253.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,ANOREXIANTS,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANOREXIANTS,,,,,,,,,,,,,,,,
c00254,IMMUNOLOGIC AGENTS - UNSPECIFIED,0.0,254.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,254.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,IMMUNOLOGIC AGENTS,,,,,,,,,,,,IMMUNOLOGIC AGENTS,,,,,,,,,,,,,,,,,
c00264,URINARY ANTISPASMODICS - UNSPECIFIED,0.0,113.0,264.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,113.0,264.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,GENITOURINARY TRACT AGENTS,URINARY ANTISPASMODICS,,,,,,,,,,,GENITOURINARY TRACT AGENTS,URINARY ANTISPASMODICS,,,,,,,,,,,,,,,,
c00267,OPHTHALMIC ANTIHISTAMINES AND DECONGESTANTS - UNSPECIFIED,0.0,133.0,147.0,267.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,133.0,147.0,267.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC ANTIHISTAMINES AND DECONGESTANTS,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC ANTIHISTAMINES AND DECONGESTANTS,,,,,,,,,,,,,,,
d00001,ACYCLOVIR,1.0,1.0,7.0,229.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,7.0,229.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ANTI-INFECTIVES,ANTIVIRAL AGENTS,PURINE NUCLEOSIDES,,,,,,,,,,ANTI-INFECTIVES,ANTIVIRAL AGENTS,PURINE NUCLEOSIDES,,,,,,,,,,,,,,,
d00002,AMIODARONE,1.0,40.0,46.0,387.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,46.0,387.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CARDIOVASCULAR AGENTS,ANTIARRHYTHMIC AGENTS,GROUP III ANTIARRHYTHMICS,,,,,,,,,,CARDIOVASCULAR AGENTS,ANTIARRHYTHMIC AGENTS,GROUP III ANTIARRHYTHMICS,,,,,,,,,,,,,,,
d00003,AMPICILLIN,1.0,1.0,13.0,224.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,13.0,224.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ANTI-INFECTIVES,PENICILLINS,AMINOPENICILLINS,,,,,,,,,,ANTI-INFECTIVES,PENICILLINS,AMINOPENICILLINS,,,,,,,,,,,,,,,
d00004,ATENOLOL,1.0,40.0,47.0,274.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,47.0,274.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CARDIOVASCULAR AGENTS,BETA-ADRENERGIC BLOCKING AGENTS,BETA BLOCKERS, CARDIOSELECTIVE,,,,,,,,,,CARDIOVASCULAR AGENTS,BETA-ADRENERGIC BLOCKING AGENTS,BETA BLOCKERS, CARDIOSELECTIVE,,,,,,,,,,,,,,,
d00006,CAPTOPRIL,1.0,40.0,42.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,42.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CARDIOVASCULAR AGENTS,ANGIOTENSIN CONVERTING ENZYME INHIBITORS,,,,,,,,,,,CARDIOVASCULAR AGENTS,ANGIOTENSIN CONVERTING ENZYME INHIBITORS,,,,,,,,,,,,,,,,
d00011,CIPROFLOXACIN,1.0,1.0,14.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,14.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ANTI-INFECTIVES,QUINOLONES,,,,,,,,,,,ANTI-INFECTIVES,QUINOLONES,,,,,,,,,,,,,,,,
d00012,CODEINE,1.0,57.0,58.0,60.0,122.0,124.0,nan,nan,nan,nan,nan,nan,nan,57.0,58.0,60.0,122.0,124.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NARCOTIC ANALGESICS,RESPIRATORY AGENTS,ANTITUSSIVES,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NARCOTIC ANALGESICS,RESPIRATORY AGENTS,ANTITUSSIVES,,,,,,,,,,,,,
d00013,ENALAPRIL,1.0,40.0,42.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,42.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CARDIOVASCULAR AGENTS,ANGIOTENSIN CONVERTING ENZYME INHIBITORS,,,,,,,,,,,CARDIOVASCULAR AGENTS,ANGIOTENSIN CONVERTING ENZYME INHIBITORS,,,,,,,,,,,,,,,,
d00014,GENTAMICIN,1.0,1.0,18.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,18.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ANTI-INFECTIVES,AMINOGLYCOSIDES,,,,,,,,,,,ANTI-INFECTIVES,AMINOGLYCOSIDES,,,,,,,,,,,,,,,,
d00015,IBUPROFEN,1.0,57.0,58.0,61.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,58.0,61.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NONSTEROIDAL ANTI-INFLAMMATORY AGENTS,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NONSTEROIDAL ANTI-INFLAMMATORY AGENTS,,,,,,,,,,,,,,,
d00016,LABETALOL,1.0,40.0,47.0,275.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,47.0,275.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CARDIOVASCULAR AGENTS,BETA-ADRENERGIC BLOCKING AGENTS,BETA BLOCKERS, NON-CARDIOSELECTIVE,,,,,,,,,,CARDIOVASCULAR AGENTS,BETA-ADRENERGIC BLOCKING AGENTS,BETA BLOCKERS, NON-CARDIOSELECTIVE,,,,,,,,,,,,,,,
d00017,MEPERIDINE,1.0,57.0,58.0,60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,58.0,60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NARCOTIC ANALGESICS,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NARCOTIC ANALGESICS,,,,,,,,,,,,,,,
d00018,NADOLOL,1.0,40.0,47.0,275.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,47.0,275.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CARDIOVASCULAR AGENTS,BETA-ADRENERGIC BLOCKING AGENTS,BETA BLOCKERS, NON-CARDIOSELECTIVE,,,,,,,,,,CARDIOVASCULAR AGENTS,BETA-ADRENERGIC BLOCKING AGENTS,BETA BLOCKERS, NON-CARDIOSELECTIVE,,,,,,,,,,,,,,,
d00019,NAPROXEN,1.0,57.0,58.0,61.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,58.0,61.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NONSTEROIDAL ANTI-INFLAMMATORY AGENTS,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NONSTEROIDAL ANTI-INFLAMMATORY AGENTS,,,,,,,,,,,,,,,
d00020,QUINIDINE,1.0,40.0,46.0,385.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,46.0,385.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CARDIOVASCULAR AGENTS,ANTIARRHYTHMIC AGENTS,GROUP I ANTIARRHYTHMICS,,,,,,,,,,CARDIOVASCULAR AGENTS,ANTIARRHYTHMIC AGENTS,GROUP I ANTIARRHYTHMICS,,,,,,,,,,,,,,,
d00021,RANITIDINE,1.0,87.0,94.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,87.0,94.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,GASTROINTESTINAL AGENTS,H2 ANTAGONISTS,,,,,,,,,,,GASTROINTESTINAL AGENTS,H2 ANTAGONISTS,,,,,,,,,,,,,,,,
d00022,WARFARIN,1.0,81.0,82.0,262.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,81.0,82.0,262.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,COAGULATION MODIFIERS,ANTICOAGULANTS,COUMARINS AND INDANEDIONES,,,,,,,,,,COAGULATION MODIFIERS,ANTICOAGULANTS,COUMARINS AND INDANEDIONES,,,,,,,,,,,,,,,
d00023,ALLOPURINOL,1.0,358.0,194.0,nan,358.0,289.0,nan,nan,nan,nan,nan,nan,nan,358.0,194.0,nan,358.0,289.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,METABOLIC AGENTS,ANTIGOUT AGENTS,,METABOLIC AGENTS,ANTIHYPERURICEMIC AGENTS,,,,,,,,METABOLIC AGENTS,ANTIGOUT AGENTS,,METABOLIC AGENTS,ANTIHYPERURICEMIC AGENTS,,,,,,,,,,,,,
d00024,AZATHIOPRINE,1.0,105.0,192.0,nan,254.0,104.0,445.0,nan,nan,nan,nan,nan,nan,105.0,192.0,nan,254.0,104.0,445.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,MISCELLANEOUS AGENTS,ANTIRHEUMATICS,,IMMUNOLOGIC AGENTS,IMMUNOSUPPRESSIVE AGENTS,OTHER IMMUNOSUPPRESSANTS,,,,,,,MISCELLANEOUS AGENTS,ANTIRHEUMATICS,,IMMUNOLOGIC AGENTS,IMMUNOSUPPRESSIVE AGENTS,OTHER IMMUNOSUPPRESSANTS,,,,,,,,,,,,
d00025,CHLORAMPHENICOL,1.0,1.0,12.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,12.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ANTI-INFECTIVES,MISCELLANEOUS ANTIBIOTICS,,,,,,,,,,,ANTI-INFECTIVES,MISCELLANEOUS ANTIBIOTICS,,,,,,,,,,,,,,,,
d00026,FENOPROFEN,1.0,57.0,58.0,61.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,58.0,61.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NONSTEROIDAL ANTI-INFLAMMATORY AGENTS,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NONSTEROIDAL ANTI-INFLAMMATORY AGENTS,,,,,,,,,,,,,,,
d00027,HALOPERIDOL,1.0,242.0,251.0,77.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,242.0,251.0,77.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PSYCHOTHERAPEUTIC AGENTS,ANTIPSYCHOTICS,MISCELLANEOUS ANTIPSYCHOTIC AGENTS,,,,,,,,,,PSYCHOTHERAPEUTIC AGENTS,ANTIPSYCHOTICS,MISCELLANEOUS ANTIPSYCHOTIC AGENTS,,,,,,,,,,,,,,,
d00028,KETOPROFEN,1.0,57.0,58.0,61.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,58.0,61.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NONSTEROIDAL ANTI-INFLAMMATORY AGENTS,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NONSTEROIDAL ANTI-INFLAMMATORY AGENTS,,,,,,,,,,,,,,,
d00031,PROBENECID,1.0,358.0,194.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,358.0,194.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,METABOLIC AGENTS,ANTIGOUT AGENTS,,,,,,,,,,,METABOLIC AGENTS,ANTIGOUT AGENTS,,,,,,,,,,,,,,,,
d00032,PROPRANOLOL,1.0,40.0,46.0,386.0,40.0,47.0,275.0,nan,nan,nan,nan,nan,nan,40.0,46.0,386.0,40.0,47.0,275.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CARDIOVASCULAR AGENTS,ANTIARRHYTHMIC AGENTS,GROUP II ANTIARRHYTHMICS,CARDIOVASCULAR AGENTS,BETA-ADRENERGIC BLOCKING AGENTS,BETA BLOCKERS, NON-CARDIOSELECTIVE,,,,,,,CARDIOVASCULAR AGENTS,ANTIARRHYTHMIC AGENTS,GROUP II ANTIARRHYTHMICS,CARDIOVASCULAR AGENTS,BETA-ADRENERGIC BLOCKING AGENTS,BETA BLOCKERS, NON-CARDIOSELECTIVE,,,,,,,,,,,,
d00033,SULINDAC,1.0,57.0,58.0,61.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,58.0,61.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NONSTEROIDAL ANTI-INFLAMMATORY AGENTS,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NONSTEROIDAL ANTI-INFLAMMATORY AGENTS,,,,,,,,,,,,,,,
